,Model,Scenario,Region,Variable,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5296,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term real interest rate ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1460787057876587,0.164314866065979,0.1885513663291931,0.2153129279613495,0.2442039549350739,0.2730374932289124,0.2995797693729401,0.3238829672336578,0.3449840247631073,0.3627978265285492,0.3764069974422455,0.3869785666465759,0.3948585093021393,0.399669885635376,0.4013573825359344,0.4003540277481079,0.3991582095623016,0.3979598581790924,0.3969572782516479,0.3963013887405396
5297,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term real interest rate ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706423223018646,0.1115067601203918,0.16738161444664,0.2136017382144928,0.2501122057437897,0.2839432060718536,0.3139249682426453,0.340231716632843,0.3622251451015472,0.3801632523536682,0.3935356736183167,0.4038142561912537,0.4113723635673523,0.4157711267471313,0.4168826043605804,0.4151195287704468,0.4130188822746277,0.4108623266220093,0.4089960753917694,0.4079055190086365
5298,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term real interest rate ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5299,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Long term real interest rate ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1460787057876587,0.164314866065979,0.1885513663291931,0.2153129279613495,0.2442039549350739,0.2730374932289124,0.2995797693729401,0.3238829672336578,0.3449840247631073,0.3627978265285492,0.3764069974422455,0.3869785666465759,0.3948585093021393,0.399669885635376,0.4013573825359344,0.4003540277481079,0.3991582095623016,0.3979598581790924,0.3969572782516479,0.3963013887405396
5312,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Volume energy use as a share of GDP ; Bn US$(PPP)(combined(no bus)),"% difference,  2017 prices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7127262188972971,-1.857067866823758,-3.001406620185332,-4.145750283477357,-5.290093724988465,-6.056064209045465,-6.593881558151338,-7.13169799305663,-7.669515539251237,-8.207330207005059,-8.562029985258068,-8.806287935513435,-9.050546275126049,-9.294800612362364,-9.539057019841934,-9.745712889423231,-9.92973852505392,-10.11376368243041,-10.29778552058599,-10.48181179241788
5313,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Volume energy use as a share of GDP ; Bn US$(PPP)(combined),"% difference,  2017 prices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7112327041271516,-1.853440222324731,-3.001492698067088,-4.164957472685071,-5.347634834917903,-6.163025964104374,-6.752205340891448,-7.335840396011295,-7.908517123771164,-8.467257000545015,-8.828459649778619,-9.066812979253324,-9.296264575404834,-9.520758033356069,-9.74401552063463,-9.93142169414286,-10.09997035512077,-10.27311284093175,-10.45075759766535,-10.63218998607165
5314,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Volume energy use as a share of GDP ; Bn US$(PPP)(physical),"% difference,  2017 prices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5315,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Volume energy use as a share of GDP ; Bn US$(PPP)(transition),"% difference,  2017 prices",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7127262188972971,-1.857067866823758,-3.001406620185332,-4.145750283477357,-5.290093724988465,-6.056064209045465,-6.593881558151338,-7.13169799305663,-7.669515539251237,-8.207330207005059,-8.562029985258068,-8.806287935513435,-9.050546275126049,-9.294800612362364,-9.539057019841934,-9.745712889423231,-9.92973852505392,-10.11376368243041,-10.29778552058599,-10.48181179241788
5804,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093390941619873,-0.1180006265640259,-0.1434949636459351,-0.1348416805267334,-0.103785514831543,-0.0753396153450012,-0.0434554815292358,0.0015254616737365,0.0582178235054016,0.1236565113067627,0.1686211824417114,0.2093410491943359,0.2512567639350891,0.291512131690979,0.3288102746009827,0.342811107635498,0.3527799844741821,0.3612953424453735,0.3649875521659851,0.3641623854637146
5805,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1295760869979858,-0.5870178937911987,-0.82096928358078,-0.5659464597702026,-0.2944602370262146,-0.1532197594642639,-0.0895473361015319,-0.0292025208473205,0.0490431785583496,0.1348356008529663,0.1902942061424255,0.2334516048431396,0.2753875851631165,0.3166638612747192,0.3556333184242249,0.3707189559936523,0.3801385164260864,0.3862285614013672,0.3858575224876404,0.3797689080238342
5806,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5807,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093390941619873,-0.1180006265640259,-0.1434949636459351,-0.1348416805267334,-0.103785514831543,-0.0753396153450012,-0.0434554815292358,0.0015254616737365,0.0582178235054016,0.1236565113067627,0.1686211824417114,0.2093410491943359,0.2512567639350891,0.291512131690979,0.3288102746009827,0.342811107635498,0.3527799844741821,0.3612953424453735,0.3649875521659851,0.3641623854637146
5816,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Inflation rate ; %(combined(no bus)),Abs. difference,0.0,0.0209465622901916,0.0460314750671386,0.0519077181816101,0.0628732144832611,0.0673649907112121,0.0730401277542114,0.0786457657814025,0.0815565884113311,0.0113856792449951,0.0756285190582275,0.0882405340671539,0.1203253269195557,0.1661349236965179,0.1979259252548218,0.2189155220985413,0.2423038482666016,0.2662736773490906,0.2871098816394806,0.2816897034645081,0.2695496678352356,0.2673072814941406,0.2652474045753479,0.2675554156303406,0.2548942565917969,0.2430446743965149,0.237445056438446,0.225773811340332,0.2081477642059326
5817,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|Europe,Inflation rate ; %(combined),Abs. difference,0.0,0.0209465622901916,0.0460314750671386,0.0519077181816101,0.0628732144832611,0.0673649907112121,0.0730401277542114,0.0786457657814025,0.0815565884113311,0.0614942610263824,-0.136025071144104,-0.2654285728931427,-0.022306889295578,0.2588082253932953,0.3610790967941284,0.3535763025283813,0.3398833274841309,0.346391499042511,0.3570955097675323,0.3369847536087036,0.3077335953712463,0.2919086813926697,0.2818182110786438,0.2794923782348633,0.2632569074630737,0.2475988268852234,0.2380332350730896,0.2225201725959778,0.201404869556427
