,Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
198081,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Fossil|w/o CCS,EJ/yr,137.4919235,140.1341887,134.8522317,118.2204224,72.90186420000002,38.5831063,27.1186949,20.337262,16.6645904,,14.4777949,,11.8075066,,9.6589912,,8.0453463
198082,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas,EJ/yr,17.341805,19.1565169,19.9860449,18.11738530000001,14.2911955,10.1392331,6.033188,4.8372311,5.0950993,,6.900929100000001,,6.952245700000001,,6.057035099999999,,5.0298383
198083,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Electricity,EJ/yr,2.1227244,2.3273916,2.1867781,1.7831411,1.4775941,1.1783864,0.7587559,0.5084602999999999,0.32274,,0.1085444,,0.0030425,,2.8e-06,,1.5e-06
198084,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Electricity|w/ CCS,EJ/yr,0.0,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.7e-06,3.6e-06,3.6e-06,3.5e-06,,3.4e-06,,3.1e-06,,2.5e-06,,1.5e-06
198085,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Electricity|w/o CCS,EJ/yr,2.1227244,2.3273879,2.1867744,1.7831374,1.4775904,1.1783827,0.7587522999999999,0.5084566999999999,0.3227365,,0.108541,,0.0030394,,3e-07,,1e-07
198086,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Gases,EJ/yr,12.7139711,13.9467813,14.4800028,13.2243403,10.5817947,7.707620700000001,4.5898042,3.2940029,2.7610397,,3.4399385,,3.3346778,,2.8550035,,2.6380003
198087,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Heat,EJ/yr,2.439247999999999,2.5494477,2.6216789,2.1442671,1.4055148,0.7061029999999999,0.1487923,0.0007182,0.0002119,,7.2e-06,,0.0,,0.0,,0.0
198088,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Hydrogen,EJ/yr,0.0658615,0.3328963,0.6975850999999998,0.9540468,0.7607734,0.3304624,0.0063653,0.0053805,0.0037965,,7.9e-06,,0.0,,0.0,,0.0
198089,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|Liquids,EJ/yr,0.0,0.0,0.0,0.01159,0.0655183999999999,0.2166607,0.5294703,1.0286691,2.007311200000001,,3.352431,,3.6145254,,3.2020287,,2.3918365
198090,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|w/ CCS,EJ/yr,0.0,0.0073309,0.0073273,0.0073038,0.0071905,0.0069114,0.0063523,0.0053691,0.0037878,,7.4e-06,,3.1e-06,,2.5e-06,,1.5e-06
198091,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Gas|w/o CCS,EJ/yr,17.341805,19.1491861,19.97871749999999,18.1100816,14.2840049,10.1323217,6.026835799999999,4.831862000000001,5.0913115,,6.9009216,,6.952242600000001,,6.057032499999999,,5.029836899999999
198092,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Geothermal,EJ/yr,0.1194551,0.1021094,0.0704137,0.070886,0.2138298,0.5609400000000001,1.1168892,1.8162132,2.9574066,,4.377106899999999,,4.982363700000001,,4.737291000000001,,3.8421473
198093,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Hydro,EJ/yr,4.8977713,5.583627700000001,5.9660393,6.137242400000001,6.234518199999999,6.2751028,6.2770989,6.2580539,6.230415799999999,,6.165797499999999,,6.085765400000001,,6.0228571,,5.828574699999999
198094,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Non-Biomass Renewables,EJ/yr,8.213105599999999,13.1225465,19.4478371,27.9818877,38.77574520000001,47.7049001,51.64951590000001,52.8562393,54.2405936,,50.8828358,,49.02408759999999,,47.40517800000001,,44.7373477
198095,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Nuclear,EJ/yr,1.3746971,2.0064714,2.6120895,3.1642423,3.6864728,4.082711,4.288823000000001,4.320400999999999,4.280462000000001,,3.6208113,,2.5117165,,1.4140214,,0.5883356999999999
198096,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Oil,EJ/yr,28.6757649,32.09210820000001,32.5766812,30.6362389,27.4194907,23.6390712,19.4110541,15.0029529,11.184183,,7.2293722,,4.649027,,3.4165982,,2.8869862
